system:index,ID,Target,VH,VV,angle,.geo
00000000000000000000_0,ID_SJ098E7S2SY9,0,-18.20169705734834,-9.880340387437847,36.850697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.76366361241016,34.162526013187545]}"
00000000000000000001_0,ID_CWCD60FGJJYY,0,-17.374205502593444,-11.316066344811771,37.73319,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.4920022678201,32.0757396081779]}"
00000000000000000004_0,ID_C20R2C0AYIT0,0,-19.26573037025284,-12.235019195206313,35.027287,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.52840525412758,14.419083204223469]}"
00000000000000000005_0,ID_MMU0PFMDQ7FW,0,-15.956601079243185,-10.731558738364834,32.79478,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.34083702280342,14.204385851318904]}"
0000000000000000000a_0,ID_OGEL0LA7Y94S,0,-15.672730865842606,-11.297108371870948,37.523354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.17606478239526,32.29420988527577]}"
0000000000000000000c_0,ID_GYHRWRLEY9W3,0,-18.049426909338592,-12.433047559587152,37.459625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34585717376616,34.29260206632806]}"
0000000000000000000d_0,ID_LLW4ZVLCTH7Y,0,-25.79253848688141,-16.995246099823262,37.412964,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.36696758294298,34.303202186680664]}"
0000000000000000000e_0,ID_7VVCEG83E9SF,0,-17.470884260366233,-13.61219318035667,37.38163,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.207056659697386,32.11041457814491]}"
00000000000000000010_0,ID_OVT4MUGA4Z22,0,-17.898873819348413,-8.227291632171811,36.834175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.75306349205755,34.119137384964574]}"
00000000000000000012_0,ID_DXWZP0E8FG9E,0,-14.609179993562947,-8.33380002165543,35.500294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.42527865951066,14.258644094479722]}"
00000000000000000015_0,ID_IECISSYAN80G,0,-15.494980477926262,-11.071888310606004,33.418987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.30131115030216,14.439025803530923]}"
00000000000000000017_0,ID_A14I5NDAO8F7,0,-17.373097344799117,-12.908444929561089,37.397205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.37271680076134,34.29790212650436]}"
00000000000000000018_0,ID_Z79AVIRGE3E1,0,-15.889914088662275,-9.7417893643292,36.936535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.67203545342997,34.060297733854746]}"
0000000000000000001b_0,ID_QPA2ZDG5PY1Q,0,-16.48085784292523,-10.216057694431642,39.386833,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34001812441939,34.28829015296428]}"
0000000000000000001c_0,ID_6D13XY27TWND,0,-17.459949260823443,-10.674491079162562,36.93827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.66790320312302,34.0554468313205]}"
0000000000000000001e_0,ID_S4FZH0QBZOPN,0,-18.6401235762391,-12.713869768224859,37.56113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.29158812793303,32.310110065804686]}"
00000000000000000020_0,ID_D055INURBWBL,0,-26.73895358875937,-13.247176189749068,33.74251,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.20061000695237,14.159380255584516]}"
00000000000000000021_0,ID_KSCSPRYSEH64,0,-25.8271040956292,-14.051850943543855,33.19885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.32583515755863,14.408483083870859]}"
00000000000000000023_0,ID_3I9MVT5RFLMD,0,-13.007233771231459,-7.790335678008548,39.42126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.32223148179382,34.26071187374181]}"
00000000000000000024_0,ID_FAXB9O0ADKUU,0,-20.064112591522466,-12.131585753382042,35.69419,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.38440531408322,14.194863709307237]}"
00000000000000000025_0,ID_RJD8BACKOCFA,0,-19.509235162535617,-14.51552316747195,37.359932,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.23903668381204,32.08580073936004]}"
