system:index,ID,Target,VH,VV,angle,.geo
00000000000000000000_0,ID_SJ098E7S2SY9,0,-17.634073932002213,-9.533322132493252,37.559055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.76366361241016,34.162526013187545]}"
00000000000000000001_0,ID_CWCD60FGJJYY,0,-16.931476568566183,-11.475045557037605,38.484337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.4920022678201,32.0757396081779]}"
00000000000000000004_0,ID_C20R2C0AYIT0,0,-17.48657520421851,-12.358922076366522,38.2948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.52840525412758,14.419083204223469]}"
00000000000000000005_0,ID_MMU0PFMDQ7FW,0,-16.532933963520875,-8.46016824102024,32.786823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.34083702280342,14.204385851318904]}"
0000000000000000000a_0,ID_OGEL0LA7Y94S,0,-15.75817941701394,-9.951427435129208,38.137863,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.17606478239526,32.29420988527577]}"
0000000000000000000c_0,ID_GYHRWRLEY9W3,0,-16.017993223979797,-8.660097974095235,37.885685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34585717376616,34.29260206632806]}"
0000000000000000000d_0,ID_LLW4ZVLCTH7Y,0,-25.130030060737226,-16.80997000548753,37.849026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.36696758294298,34.303202186680664]}"
0000000000000000000e_0,ID_7VVCEG83E9SF,0,-19.362821550390347,-12.987022651179288,38.009327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.207056659697386,32.11041457814491]}"
00000000000000000010_0,ID_OVT4MUGA4Z22,0,-17.435199753725517,-9.853491682977698,37.535576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.75306349205755,34.119137384964574]}"
00000000000000000012_0,ID_DXWZP0E8FG9E,0,-17.2194024796761,-9.346662874277877,38.739132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.42527865951066,14.258644094479722]}"
00000000000000000015_0,ID_IECISSYAN80G,0,-17.972547839275272,-10.812300140665991,33.411144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.30131115030216,14.439025803530923]}"
00000000000000000017_0,ID_A14I5NDAO8F7,0,-16.581621000367807,-11.108321635151876,37.836597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.37271680076134,34.29790212650436]}"
00000000000000000018_0,ID_Z79AVIRGE3E1,0,-14.461868166345909,-7.779119789977524,37.57973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.67203545342997,34.060297733854746]}"
0000000000000000001b_0,ID_QPA2ZDG5PY1Q,0,-16.541613488197306,-8.646279745570693,40.26899,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34001812441939,34.28829015296428]}"
0000000000000000001c_0,ID_6D13XY27TWND,0,-16.864460190796514,-11.482777030551112,37.57849,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.66790320312302,34.0554468313205]}"
0000000000000000001e_0,ID_S4FZH0QBZOPN,0,-20.556635829882683,-12.943362188221428,38.262688,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.29158812793303,32.310110065804686]}"
00000000000000000020_0,ID_D055INURBWBL,0,-26.206419921094945,-12.399362444944167,33.73469,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.20061000695237,14.159380255584516]}"
00000000000000000021_0,ID_KSCSPRYSEH64,0,-31.358074869086128,-14.344726991349834,33.19099,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.32583515755863,14.408483083870859]}"
00000000000000000023_0,ID_3I9MVT5RFLMD,0,-11.575444930501753,-6.0851074228230875,40.293392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.32223148179382,34.26071187374181]}"
00000000000000000024_0,ID_FAXB9O0ADKUU,0,-24.172724874541473,-12.178272363466151,38.920605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.38440531408322,14.194863709307237]}"
00000000000000000025_0,ID_RJD8BACKOCFA,0,-21.30322613777218,-13.665750896757032,38.00623,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.23903668381204,32.08580073936004]}"
00000000000000000027_0,ID_S9PPVUBPVU3G,0,-14.026112990360602,-10.157963399831234,34.326828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.15758070484304,14.360423216170464]}"
00000000000000000029_0,ID_WCVQ3NFKNRJ2,0,-12.273558573205621,-3.9446024413055514,38.505714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.36444149747512,32.45518798418998]}"
0000000000000000002a_0,ID_PDPOUEXBHPY8,0,-22.192805320832207,-12.036474067676723,33.56182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.257293701380306,14.323322794936328]}"
0000000000000000002e_0,ID_L2U7DUSPD3J0,0,-26.134272217675672,-15.355048276810317,34.556473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.1430279972403,14.449625923883533]}"
0000000000000000002f_0,ID_3PR0OWONVC1U,0,-19.455789252944264,-12.860544837892196,38.028835,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.22376532398201,32.12514694880447]}"
00000000000000000034_0,ID_0SF4RCN504DQ,0,-21.09036485050777,-10.35488896212693,40.298393,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.31630260091863,34.24445236709925]}"
00000000000000000039_0,ID_9UBU78S4KY2A,0,-17.254006374065163,-11.339009661087083,40.26285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.33507739035673,34.25900507470198]}"
0000000000000000003b_0,ID_BZX6I8Y6G1T9,0,-17.32699590901871,-10.137518886909842,38.443104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.75315332358596,34.09146927421369]}"
00000000000000000040_0,ID_3Q700UD8YAPM,0,-18.972692891035294,-13.338532577448959,38.9317,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.384854471725276,14.206182481887142]}"
00000000000000000044_0,ID_L0RJI5FIQEQ8,0,-18.688939715985917,-13.219147162592737,38.7539,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.48034538642718,14.52957598417017]}"
00000000000000000045_0,ID_B3ORMFDAYD1U,0,-15.6896941859484,-10.738420126583545,38.386986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.42956935557379,32.10232974058784]}"
00000000000000000048_0,ID_GXCBEEGED0L5,0,-25.85921510705557,-13.592001935646842,41.332554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.19834300144142,32.061636058217225]}"
0000000000000000004c_0,ID_YNDJOQF1N0VW,0,-15.851076530639155,-8.859890071005106,38.053303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.1628595477187,32.41512312251825]}"
0000000000000000004f_0,ID_07TOMJZX2GTF,0,-18.445705662431568,-11.755025732870296,37.570774,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.6625133114183,34.08940314906022]}"
00000000000000000050_0,ID_RNBJNOSWS1OF,0,-27.556675480364067,-15.049233799067984,33.526306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.235105313862555,14.186509377164924]}"
00000000000000000052_0,ID_D7LUTUIQZ7FS,0,-15.316800363983234,-9.090959000095989,38.34551,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.33470726157077,32.24920428954138]}"
00000000000000000053_0,ID_7JQ221APF44L,0,-21.55237148955551,-11.169163157011956,34.68659,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.126858322126154,14.460226044236144]}"
00000000000000000056_0,ID_JFOA025TW7YZ,0,-15.104654713643429,-10.500411920578918,38.1128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.177412255321435,32.26106205129176]}"
00000000000000000057_0,ID_BRUG2R3A8KMO,0,-14.981571442990933,-10.377640052452065,38.652214,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.502893100058586,14.56083735605753]}"
00000000000000000058_0,ID_NZFWCYVAX8W1,0,-27.113372059524252,-12.923194216639157,38.81456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.39635290736201,14.170788859692834]}"
