system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,ID,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,Target,WVP,.geo
00000000000000000000_0,0.0336,0.1165,0.3748,0.36015,0.1504,0.1947,0.2283,0.25985,0.26705,0.28025,0.2652,0.28915,0.281,ID_SJ098E7S2SY9,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01525,0.01985,0.0232,0,0.2777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.76366361241016,34.162526013187545]}"
00000000000000000001_0,0.0513,0.0448,0.2419,0.16445,0.0646,0.0996,0.1071,0.16205,0.25645,0.2853,0.2984,0.3134,0.3286,ID_CWCD60FGJJYY,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0066,0.0102,0.01085,0,0.22085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.4920022678201,32.0757396081779]}"
0000000000000000000a_0,0.061,0.0698,0.3201,0.2749,0.107,0.1372,0.1672,0.1964,0.2384,0.2587,0.269,0.2785,0.2864,ID_OGEL0LA7Y94S,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0109,0.0141,0.0173,0,0.1754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.17606478239526,32.29420988527577]}"
0000000000000000000c_0,0.03315,0.14185,0.39285,0.37695,0.169,0.2204,0.2634,0.2812,0.28185,0.2894,0.2835,0.29445,0.3009,ID_GYHRWRLEY9W3,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01705,0.02245,0.0255,0,0.25425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34585717376616,34.29260206632806]}"
0000000000000000000d_0,0.0334,0.1681,0.3353,0.31405,0.1855,0.2287,0.2534,0.2781,0.27405,0.27935,0.2667,0.2805,0.28045,ID_LLW4ZVLCTH7Y,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01905,0.0233,0.0247,0,0.25785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.36696758294298,34.303202186680664]}"
0000000000000000000e_0,0.0666,0.0383,0.2708,0.1911,0.055,0.0883,0.1082,0.1687,0.2335,0.2598,0.2688,0.287,0.2891,ID_7VVCEG83E9SF,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0058,0.0091,0.0111,0,0.1938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.207056659697386,32.11041457814491]}"
00000000000000000010_0,0.03255,0.1231,0.4092,0.381,0.1817,0.25305,0.2984,0.31465,0.32435,0.33085,0.3298,0.33655,0.30315,ID_OVT4MUGA4Z22,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01855,0.0247,0.0255,0,0.27855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.75306349205755,34.119137384964574]}"
00000000000000000017_0,0.0334,0.11255,0.2634,0.1875,0.0892,0.1289,0.1348,0.16695,0.26665,0.3244,0.3078,0.33615,0.33915,ID_A14I5NDAO8F7,0.0,0.0,0.0,0.0,0.0,4.5E-4,0.00895,0.0132,0.0137,0,0.2598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.37271680076134,34.29790212650436]}"
00000000000000000018_0,0.0296,0.11285,0.3494,0.2546,0.08365,0.13155,0.1312,0.22185,0.3251,0.35045,0.3242,0.36485,0.3476,ID_Z79AVIRGE3E1,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0086,0.01335,0.0132,0,0.19965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.67203545342997,34.060297733854746]}"
0000000000000000001b_0,0.033,0.1285,0.4113,0.38375,0.1622,0.2181,0.26,0.3041,0.31205,0.32505,0.3034,0.33165,0.32545,ID_QPA2ZDG5PY1Q,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0164,0.02215,0.02505,0,0.2588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34001812441939,34.28829015296428]}"
