system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,ID,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,Target,WVP,.geo
00000000000000000000_0,0.0119,0.0928,0.2878,0.2746,0.128,0.1635,0.1891,0.2088,0.2182,0.2238,0.2243,0.2286,0.2355,ID_SJ098E7S2SY9,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.013,0.0168,0.0194,0,0.0331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.76366361241016,34.162526013187545]}"
00000000000000000004_0,0.0141,0.0662,0.29,0.27625,0.1118,0.1638,0.2145,0.2497,0.2631,0.27915,0.2703,0.2804,0.27715,ID_C20R2C0AYIT0,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0116,0.0167,0.0217,0,0.1553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.52840525412758,14.419083204223469]}"
00000000000000000005_0,0.0141,0.0645,0.2474,0.19235,0.0718,0.1031,0.1324,0.18515,0.2155,0.22785,0.23,0.2495,0.23325,ID_MMU0PFMDQ7FW,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.00735,0.01055,0.0135,0,0.1385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.34083702280342,14.204385851318904]}"
0000000000000000000c_0,0.01,0.1232,0.3016,0.2903,0.1254,0.1603,0.1877,0.2052,0.2197,0.228,0.2305,0.2245,0.2477,ID_GYHRWRLEY9W3,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0129,0.0164,0.0189,0,0.0274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34585717376616,34.29260206632806]}"
0000000000000000000d_0,0.01,0.1327,0.2737,0.2658,0.1412,0.1728,0.1938,0.2186,0.2237,0.2283,0.2141,0.2307,0.2645,ID_LLW4ZVLCTH7Y,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0149,0.0178,0.0201,0,0.0239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.36696758294298,34.303202186680664]}"
00000000000000000010_0,0.0115,0.1033,0.3684,0.357,0.1412,0.195,0.2342,0.2727,0.2804,0.2923,0.2884,0.298,0.2833,ID_OVT4MUGA4Z22,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0146,0.0198,0.0239,0,0.0396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.75306349205755,34.119137384964574]}"
00000000000000000012_0,0.0141,0.02945,0.14595,0.1138,0.045,0.0709,0.0831,0.1196,0.17945,0.206,0.1878,0.20445,0.18625,ID_DXWZP0E8FG9E,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.00445,0.00725,0.00865,0,0.1399,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.42527865951066,14.258644094479722]}"
00000000000000000015_0,0.01445,0.04415,0.15515,0.12105,0.04795,0.0763,0.0864,0.12545,0.1469,0.16595,0.1555,0.1789,0.1937,ID_IECISSYAN80G,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.00495,0.0078,0.0088,0,0.1174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.30131115030216,14.439025803530923]}"
00000000000000000017_0,0.01,0.074,0.1879,0.1512,0.073,0.1084,0.1192,0.1283,0.2146,0.2485,0.2967,0.274,0.2479,ID_A14I5NDAO8F7,2.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0077,0.011,0.0122,0,0.0305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.37271680076134,34.29790212650436]}"
00000000000000000018_0,0.0106,0.1029,0.3247,0.2636,0.0995,0.1298,0.1751,0.2362,0.2384,0.2548,0.2304,0.2651,0.2999,ID_Z79AVIRGE3E1,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0105,0.0132,0.0178,0,0.0196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.67203545342997,34.060297733854746]}"
0000000000000000001b_0,0.0099,0.1131,0.34,0.3339,0.1522,0.1886,0.2292,0.2513,0.2507,0.2603,0.2688,0.2648,0.3012,ID_QPA2ZDG5PY1Q,0.0,0.0,0.0,0.0,0.0,8.0E-4,0.0154,0.0192,0.0234,0,0.0283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34001812441939,34.28829015296428]}"
