system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,ID,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,Target,WVP,.geo
00000000000000000000_0,0.0289,0.1113,0.3894,0.3657,0.1474,0.1984,0.249,0.2739,0.2758,0.2894,0.283,0.2964,0.2927,ID_SJ098E7S2SY9,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0148,0.0202,0.0253,0,0.1483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.76366361241016,34.162526013187545]}"
00000000000000000001_0,0.0204,0.05595,0.206,0.13425,0.06615,0.09435,0.0939,0.13565,0.23915,0.272,0.2999,0.2964,0.31475,ID_CWCD60FGJJYY,0.0,0.0,0.0,0.0,0.0,4.0E-4,0.00685,0.0097,0.0097,0,0.1313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.4920022678201,32.0757396081779]}"
00000000000000000004_0,0.0192,0.09965,0.29885,0.2839,0.1344,0.1868,0.2292,0.25995,0.275,0.2895,0.2759,0.2962,0.28755,ID_C20R2C0AYIT0,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.01375,0.019,0.02335,0,0.3298,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.52840525412758,14.419083204223469]}"
00000000000000000005_0,0.0192,0.0927,0.2546,0.2098,0.0976,0.1268,0.1448,0.1791,0.2052,0.2292,0.234,0.244,0.2369,ID_MMU0PFMDQ7FW,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0098,0.013,0.0149,0,0.3118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.34083702280342,14.204385851318904]}"
0000000000000000000a_0,0.0203,0.0535,0.198,0.15495,0.07085,0.096,0.1062,0.1312,0.1657,0.17995,0.1927,0.19115,0.1956,ID_OGEL0LA7Y94S,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0074,0.0098,0.01075,0,0.1346,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.17606478239526,32.29420988527577]}"
0000000000000000000c_0,0.0279,0.1454,0.4098,0.3847,0.1832,0.2392,0.285,0.3047,0.304,0.3137,0.3222,0.3176,0.3222,ID_GYHRWRLEY9W3,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0188,0.0244,0.0255,0,0.1333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.34585717376616,34.29260206632806]}"
0000000000000000000d_0,0.0281,0.1714,0.3372,0.3155,0.1974,0.2448,0.2702,0.2896,0.2954,0.2971,0.2952,0.3006,0.2956,ID_LLW4ZVLCTH7Y,0.0025,0.0,0.0,0.0,0.0,7.0E-4,0.0203,0.025,0.0255,0,0.1532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.36696758294298,34.303202186680664]}"
0000000000000000000e_0,0.0204,0.05825,0.19625,0.1242,0.0678,0.09985,0.1022,0.14465,0.2323,0.26105,0.2719,0.2816,0.25745,ID_7VVCEG83E9SF,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.00695,0.01015,0.01045,0,0.15715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[48.207056659697386,32.11041457814491]}"
00000000000000000010_0,0.028,0.1266,0.4273,0.3883,0.1902,0.2718,0.325,0.3362,0.3381,0.3565,0.3682,0.3553,0.3162,ID_OVT4MUGA4Z22,0.0,0.0,0.0,0.0,0.0,5.0E-4,0.0195,0.0255,0.0255,0,0.1591,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.75306349205755,34.119137384964574]}"
00000000000000000012_0,0.0192,0.0607,0.197,0.1615,0.0802,0.1076,0.1328,0.157,0.1954,0.2143,0.2,0.2169,0.1974,ID_DXWZP0E8FG9E,2.0E-4,0.0,0.0,0.0,0.0,7.0E-4,0.0083,0.011,0.0135,0,0.3075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.42527865951066,14.258644094479722]}"
